,plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,summons_image
14,LAE2649,NY,PAS,1493093587,07/31/2023,09:16P,NO STANDING-DAY/TIME LIMITS,,115.0,30.0,0.0,0.0,0.0,145.0,52.0,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxVMFRuYzlQUT09&locationName=_____________________)
15,U41LDV,NJ,PAS,1493093605,08/04/2023,09:37P,NO STANDING-DAY/TIME LIMITS,,115.0,30.0,0.0,0.0,0.0,145.0,52.0,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxsM1RsRTlQUT09&locationName=_____________________)
16,KPK6205,NY,PAS,1493093617,09/05/2023,11:50A,OBSTRUCTING DRIVEWAY,,95.0,10.0,0.0,0.0,0.0,105.0,52.0,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxsNFRuYzlQUT09&locationName=_____________________)
17,EMC4801,MI,PAS,9001651148,08/10/2022,07:51A,NO STANDING-COMM METER ZONE,,115.0,0.0,0.0,0.0,115.0,0.0,10.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEZOVkVVd1QwRTlQUT09&locationName=_____________________)
18,KHE7284,NY,PAS,4788465279,07/25/2022,01:13P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPVkVrelQxRTlQUT09&locationName=_____________________)
19,KXS8341,NY,PAS,9001651550,08/16/2022,07:12A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,0.0,115.0,0.0,14.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEZOVkZVeFRVRTlQUT09&locationName=_____________________)
20,JAU4103,NY,PAS,4788465206,07/25/2022,01:12P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPVkVsM1RtYzlQUT09&locationName=_____________________)
21,DYY2085,NY,PAS,4788465218,07/25/2022,01:12P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPVkVsNFQwRTlQUT09&locationName=_____________________)
22,GNS8315,NY,PAS,4788465220,07/25/2022,01:12P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPVkVsNVRVRTlQUT09&locationName=_____________________)
23,DA22427,VA,PAS,9001651483,08/15/2022,10:15A,NO STANDING-COMM METER ZONE,,115.0,0.0,0.0,0.0,115.0,0.0,17.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEZOVkZFMFRYYzlQUT09&locationName=_____________________)
24,JBB1248,NY,PAS,8919090166,11/19/2021,09:19A,NO PARKING-STREET CLEANING,,65.0,30.0,0.0,0.0,95.0,0.0,6.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVRVFZOUkVVeVRtYzlQUT09&locationName=_____________________)
25,KPK6205,NY,PAS,1493093629,09/05/2023,11:50P,FIRE HYDRANT,,115.0,10.0,0.0,0.0,0.0,125.0,52.0,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxsNVQxRTlQUT09&locationName=_____________________)
26,KYF1096,NY,PAS,1493093630,09/02/2023,09:15P,DOUBLE PARKING,,115.0,10.0,0.0,0.0,0.0,125.0,52.0,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxsNlRVRTlQUT09&locationName=_____________________)
27,N86LYX,NJ,PAS,9001651707,08/16/2022,10:14A,NO STANDING-COMM METER ZONE,,115.0,0.0,0.0,0.0,115.0,0.0,18.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEZOVkdOM1RuYzlQUT09&locationName=_____________________)
28,KXS8341,NY,PAS,9001651562,08/16/2022,07:15A,REG. STICKER-EXPIRED/MISSING,,65.0,0.0,0.0,0.0,65.0,0.0,14.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEZOVkZVeVRXYzlQUT09&locationName=_____________________)
29,57766MJ,NY,COM,8919091511,02/22/2022,12:51P,DOUBLE PARKING,,115.0,0.0,0.0,0.0,115.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVRVFZOVkZWNFRWRTlQUT09&locationName=_____________________)
30,C13NDA,NJ,PAS,9001651598,08/16/2022,08:07A,NO PARKING-DAY/TIME LIMITS,,65.0,0.0,0.0,0.0,65.0,0.0,17.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVEZOVkZVMVQwRTlQUT09&locationName=_____________________)
31,HTT1477,NY,PAS,4788465620,07/25/2022,01:15P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPVkZsNVRVRTlQUT09&locationName=_____________________)
32,DDK9991,NY,PAS,4788465589,07/25/2022,01:15P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPVkZVMFQxRTlQUT09&locationName=_____________________)
33,GHF4200,NY,PAS,9001679067,08/16/2022,07:22A,NO PARKING-DAY/TIME LIMITS,,60.0,0.0,0.0,0.0,60.0,0.0,120.0,R,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVE5QVkVFeVRuYzlQUT09&locationName=_____________________)
34,LAU4746,NY,PAS,1493093642,08/29/2023,11:39P,FIRE HYDRANT,,115.0,0.0,0.0,0.0,0.0,115.0,52.0,BX,POLICE DEPARTMENT,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxrd1RXYzlQUT09&locationName=_____________________)
35,GXT6819,NY,PAS,4788465814,07/25/2022,01:17P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPVkdkNFRrRTlQUT09&locationName=_____________________)
36,LKX5948,PA,PAS,4788465905,07/25/2022,01:18P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,ST,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPVkd0M1RsRTlQUT09&locationName=_____________________)
37,W78PPT,NJ,PAS,8919097665,04/02/2022,12:33P,FAIL TO DSPLY MUNI METER RECPT,,65.0,10.0,0.0,0.0,75.0,0.0,7.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFOVVRVFZPZWxreVRsRTlQUT09&locationName=_____________________)
38,MCF5748,PA,PAS,1493093654,08/23/2023,02:50A,FIRE HYDRANT,,115.0,10.0,0.0,0.0,0.0,125.0,52.0,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxreFRrRTlQUT09&locationName=_____________________)
39,8POE444,CA,PAS,4788466132,07/25/2022,01:19P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPYWtWNlRXYzlQUT09&locationName=_____________________)
40,72420ML,NY,COM,9001683617,08/16/2022,01:32A,NGHT PKG ON RESID STR-COMM VEH,,65.0,0.0,0.0,0.0,65.0,0.0,107.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVFJOZWxsNFRuYzlQUT09&locationName=_____________________)
41,ENX2685,NY,PAS,9001683587,08/16/2022,01:21A,CROSSWALK,,115.0,0.0,0.0,0.0,115.0,0.0,107.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVFJOZWxVMFRuYzlQUT09&locationName=_____________________)
42,HZR7255,NY,PAS,4788466200,07/25/2022,01:20P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,ST,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPYWtsM1RVRTlQUT09&locationName=_____________________)
43,14991ND,NY,COM,4788466259,07/25/2022,01:21P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPYWtreFQxRTlQUT09&locationName=_____________________)
44,JRC5192,NY,PAS,4788466375,07/25/2022,01:21P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPYWswelRsRTlQUT09&locationName=_____________________)
45,KSU4716,NY,PAS,4788466326,07/25/2022,01:21P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPYWsxNVRtYzlQUT09&locationName=_____________________)
46,XDHD86,NJ,PAS,4865175878,09/23/2023,09:13P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1rNVVSVE5PVkdjelQwRTlQUT09&locationName=_____________________)
47,KMU8036,NY,PAS,9001686849,08/10/2022,11:00A,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,0.0,35.0,0.0,106.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVFJPYW1jd1QxRTlQUT09&locationName=_____________________)
48,KVN5481,NY,PAS,9001686862,08/10/2022,11:05A,DOUBLE PARKING,,115.0,0.0,0.0,0.0,115.0,0.0,106.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVFJPYW1jeVRXYzlQUT09&locationName=_____________________)
49,HYT3906,NY,PAS,4788466648,07/25/2022,01:24P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPYWxrd1QwRTlQUT09&locationName=_____________________)
50,GYF2523,NY,PAS,4788466703,07/25/2022,01:24P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPYW1OM1RYYzlQUT09&locationName=_____________________)
51,S103TU,NY,PAS,4788466673,07/25/2022,01:24P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPYWxrelRYYzlQUT09&locationName=_____________________)
52,JBE4815,NY,PAS,4788466636,07/25/2022,01:24P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPYWxsNlRtYzlQUT09&locationName=_____________________)
53,GZP7984,NY,PAS,4788466661,07/25/2022,01:24P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPYWxreVRWRTlQUT09&locationName=_____________________)
54,JPF8742,NY,PAS,4857169332,08/13/2023,07:45A,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1VNTZSVEpQVkUxNlRXYzlQUT09&locationName=_____________________)
55,KKR1658,NY,PAS,2010518974,05/24/2023,06:30P,NO STANDING-DAY/TIME LIMITS,,115.0,10.0,0.0,10.0,115.0,0.0,77.0,Kings,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmVFMUVWWGhQUkdzelRrRTlQUT09&locationName=_____________________)
56,JHE5925,NY,PAS,8629098375,04/03/2023,06:41P,NO STANDING-BUS STOP,,115.0,0.0,0.0,0.0,115.0,0.0,106.0,Q,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVOVVRVFZQUkUwelRsRTlQUT09&locationName=_____________________)
57,KNV5247,NY,PAS,1493093666,08/22/2023,12:53A,PEDESTRIAN RAMP,,165.0,10.0,0.0,0.0,0.0,175.0,52.0,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxreVRtYzlQUT09&locationName=_____________________)
58,JJZ7597,NY,PAS,8969370055,05/20/2021,07:51A,NO MATCH-PLATE/STICKER,,65.0,0.0,0.0,0.0,65.0,0.0,43.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rOVVUVE5OUkVFeFRsRTlQUT09&locationName=_____________________)
59,88BG50,NY,LMB,8992772026,06/16/2021,05:35P,NO STANDING-DAY/TIME LIMITS,,115.0,10.0,0.0,0.0,125.0,0.0,94.0,K,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VMXFZek5OYWtGNVRtYzlQUT09&locationName=_____________________)
60,DJP7065,NY,PAS,4029023058,03/01/2023,10:24A,BUS LANE VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmVVOVVRWGxOZWtFeFQwRTlQUT09&locationName=_____________________)
61,MCZ9062,PA,PAS,1493093678,09/12/2023,12:08A,FIRE HYDRANT,,115.0,10.0,0.0,0.0,0.0,125.0,52.0,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxrelQwRTlQUT09&locationName=_____________________)
62,22312ND,NY,COM,5128580283,07/01/2023,07:27A,FAILURE TO STOP AT RED LIGHT,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmVVOUVWVFJOUkVrMFRYYzlQUT09&locationName=_____________________)
63,KZP6533,NY,PAS,1493093680,08/20/2023,01:18A,FIRE HYDRANT,,115.0,10.0,0.0,0.0,0.0,125.0,52.0,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxrMFRVRTlQUT09&locationName=_____________________)
64,MCZ9062,PA,PAS,1493093691,08/19/2023,11:07P,PEDESTRIAN RAMP,,165.0,10.0,0.0,0.0,0.0,175.0,52.0,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZWxrMVRWRTlQUT09&locationName=_____________________)
65,KWN5647,NY,PAS,2011024717,03/23/2023,09:45A,NO PARKING-STREET CLEANING,,65.0,0.0,0.0,0.0,65.0,0.0,114.0,Qns,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmVFMVVRWGxPUkdONFRuYzlQUT09&locationName=_____________________)
66,XKKH56,NJ,PAS,2011024699,03/23/2023,07:41A,NO PARKING-STREET CLEANING,,65.0,0.0,0.0,65.0,0.0,0.0,114.0,Qns,DEPARTMENT OF SANITATION,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFdwQmVFMVVRWGxPUkZrMVQxRTlQUT09&locationName=_____________________)
67,GTV6176,NY,PAS,9001687404,08/13/2022,08:56A,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,0.0,35.0,0.0,100.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVFJPZWxGM1RrRTlQUT09&locationName=_____________________)
68,Z77PGA,NJ,PAS,9001687430,08/13/2022,09:27A,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,0.0,35.0,0.0,100.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVFJPZWxGNlRVRTlQUT09&locationName=_____________________)
69,GNA1090,NY,PAS,4788467008,07/25/2022,01:27P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPZWtGM1QwRTlQUT09&locationName=_____________________)
70,KLN5157,NY,PAS,4788466960,07/25/2022,01:27P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPYW1zeVRVRTlQUT09&locationName=_____________________)
71,KNX1381,NY,OMS,4788467124,07/25/2022,01:28P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPZWtWNVRrRTlQUT09&locationName=_____________________)
72,PAINRELF,NY,SRF,9001687477,08/13/2022,09:50A,REG. STICKER-EXPIRED/MISSING,,65.0,0.0,0.0,0.0,65.0,0.0,100.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVFJPZWxFelRuYzlQUT09&locationName=_____________________)
73,FYL7713,NY,PAS,9001687581,08/15/2022,11:10A,EXPIRED MUNI METER,,35.0,0.0,0.0,0.0,35.0,0.0,103.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMVVXVFJPZWxVMFRWRTlQUT09&locationName=_____________________)
74,JSC2772,NY,PAS,1493093708,08/19/2023,11:48P,FIRE HYDRANT,,115.0,10.0,0.0,0.0,0.0,125.0,52.0,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk5VMTZRVFZOZW1OM1QwRTlQUT09&locationName=_____________________)
75,GEK1466,NY,PAS,4788467150,07/25/2022,01:28P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPZWtVeFRVRTlQUT09&locationName=_____________________)
76,JEN4165,NY,PAS,4788467197,07/25/2022,01:28P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSak5FOUVVVEpPZWtVMVRuYzlQUT09&locationName=_____________________)
